ID,REF_DATE,GEO,NHPI,VALUE,,,
1,1981-01-01,Canada,Total (house and land),38.2,,,
2,1981-01-01,Canada,House only,36.1,,,
3,1981-01-01,Canada,Land only,40.6,,,
4,1981-01-01,Atlantic Region,Total (house and land),0,,,
5,1981-01-01,Atlantic Region,House only,0,,,
6,1981-01-01,Atlantic Region,Land only,0,,,
7,1981-01-01,Newfoundland and Labrador,Total (house and land),0,,,
8,1981-01-01,Newfoundland and Labrador,House only,0,,,
9,1981-01-01,Newfoundland and Labrador,Land only,0,,,
10,1981-01-01,St. John's: Newfoundland and Labrador,Total (house and land),36.1,,,
11,1981-01-01,St. John's: Newfoundland and Labrador,House only,37.5,,,
12,1981-01-01,St. John's: Newfoundland and Labrador,Land only,31.4,,,
13,1981-01-01,Prince Edward Island,Total (house and land),0,,,
14,1981-01-01,Prince Edward Island,House only,0,,,
15,1981-01-01,Prince Edward Island,Land only,0,,,
16,1981-01-01,Charlottetown: Prince Edward Island,Total (house and land),0,,,
17,1981-01-01,Charlottetown: Prince Edward Island,House only,0,,,
18,1981-01-01,Charlottetown: Prince Edward Island,Land only,0,,,
19,1981-01-01,Nova Scotia,Total (house and land),0,,,
20,1981-01-01,Nova Scotia,House only,0,,,
21,1981-01-01,Nova Scotia,Land only,0,,,
22,1981-01-01,Halifax: Nova Scotia,Total (house and land),0,,,
23,1981-01-01,Halifax: Nova Scotia,House only,0,,,
24,1981-01-01,Halifax: Nova Scotia,Land only,32.5,,,
25,1981-01-01,New Brunswick,Total (house and land),0,,,
26,1981-01-01,New Brunswick,House only,0,,,
27,1981-01-01,New Brunswick,Land only,0,,,
28,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,Total (house and land),55.9,,,
29,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,House only,61.4,,,
30,1981-01-01,Saint John: Fredericton: and Moncton: New Brunswick,Land only,38,,,
31,1981-01-01,Quebec,Total (house and land),0,,,
32,1981-01-01,Quebec,House only,0,,,
33,1981-01-01,Quebec,Land only,0,,,
34,1981-01-01,Quebec: Quebec,Total (house and land),30.1,,,
35,1981-01-01,Quebec: Quebec,House only,34.9,,,
36,1981-01-01,Quebec: Quebec,Land only,19.8,,,
37,1981-01-01,Sherbrooke: Quebec,Total (house and land),0,,,
38,1981-01-01,Sherbrooke: Quebec,House only,0,,,
39,1981-01-01,Sherbrooke: Quebec,Land only,0,,,
40,1981-01-01,Trois-Rivieres: Quebec,Total (house and land),0,,,
41,1981-01-01,Trois-Rivieres: Quebec,House only,0,,,
42,1981-01-01,Trois-Rivieres: Quebec,Land only,0,,,
43,1981-01-01,Montreal: Quebec,Total (house and land),28.5,,,
44,1981-01-01,Montreal: Quebec,House only,30,,,
45,1981-01-01,Montreal: Quebec,Land only,20.3,,,
46,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Total (house and land),0,,,
47,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,House only,0,,,
48,1981-01-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Land only,0,,,
49,1981-01-01,Ontario,Total (house and land),0,,,
50,1981-01-01,Ontario,House only,0,,,
51,1981-01-01,Ontario,Land only,0,,,
52,1981-01-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Total (house and land),32.6,,,
53,1981-01-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,House only,30.8,,,
54,1981-01-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Land only,39.9,,,
55,1981-01-01,Oshawa: Ontario,Total (house and land),0,,,
56,1981-01-01,Oshawa: Ontario,House only,0,,,
57,1981-01-01,Oshawa: Ontario,Land only,0,,,
58,1981-01-01,Toronto: Ontario,Total (house and land),28,,,
59,1981-01-01,Toronto: Ontario,House only,22.6,,,
60,1981-01-01,Toronto: Ontario,Land only,39.1,,,
61,1981-01-01,Hamilton: Ontario,Total (house and land),30.3,,,
62,1981-01-01,Hamilton: Ontario,House only,24.8,,,
63,1981-01-01,Hamilton: Ontario,Land only,46,,,
64,1981-01-01,St. Catharines-Niagara: Ontario,Total (house and land),30.6,,,
65,1981-01-01,St. Catharines-Niagara: Ontario,House only,28.3,,,
66,1981-01-01,St. Catharines-Niagara: Ontario,Land only,35.6,,,
67,1981-01-01,Kitchener-Cambridge-Waterloo: Ontario,Total (house and land),34,,,
68,1981-01-01,Kitchener-Cambridge-Waterloo: Ontario,House only,30.4,,,
69,1981-01-01,Kitchener-Cambridge-Waterloo: Ontario,Land only,43.4,,,
70,1981-01-01,Guelph: Ontario,Total (house and land),0,,,
71,1981-01-01,Guelph: Ontario,House only,0,,,
72,1981-01-01,Guelph: Ontario,Land only,0,,,
73,1981-01-01,London: Ontario,Total (house and land),31.8,,,
74,1981-01-01,London: Ontario,House only,27,,,
75,1981-01-01,London: Ontario,Land only,51,,,
76,1981-01-01,Windsor: Ontario,Total (house and land),61.2,,,
77,1981-01-01,Windsor: Ontario,House only,64.9,,,
78,1981-01-01,Windsor: Ontario,Land only,47.5,,,
79,1981-01-01,Greater Sudbury: Ontario,Total (house and land),54.7,,,
80,1981-01-01,Greater Sudbury: Ontario,House only,54.6,,,
81,1981-01-01,Greater Sudbury: Ontario,Land only,51.4,,,
82,1981-01-01,Prairie Region,Total (house and land),0,,,
83,1981-01-01,Prairie Region,House only,0,,,
84,1981-01-01,Prairie Region,Land only,0,,,
85,1981-01-01,Manitoba,Total (house and land),0,,,
86,1981-01-01,Manitoba,House only,0,,,
87,1981-01-01,Manitoba,Land only,0,,,
88,1981-01-01,Winnipeg: Manitoba,Total (house and land),26.6,,,
89,1981-01-01,Winnipeg: Manitoba,House only,29.3,,,
90,1981-01-01,Winnipeg: Manitoba,Land only,18.7,,,
91,1981-01-01,Saskatchewan,Total (house and land),0,,,
92,1981-01-01,Saskatchewan,House only,0,,,
93,1981-01-01,Saskatchewan,Land only,0,,,
94,1981-01-01,Regina: Saskatchewan,Total (house and land),19.8,,,
95,1981-01-01,Regina: Saskatchewan,House only,20.7,,,
96,1981-01-01,Regina: Saskatchewan,Land only,16.7,,,
97,1981-01-01,Saskatoon: Saskatchewan,Total (house and land),33,,,
98,1981-01-01,Saskatoon: Saskatchewan,House only,35.8,,,
99,1981-01-01,Saskatoon: Saskatchewan,Land only,26,,,
100,1981-01-01,Alberta,Total (house and land),0,,,
101,1981-01-01,Alberta,House only,0,,,
102,1981-01-01,Alberta,Land only,0,,,
103,1981-01-01,Calgary: Alberta,Total (house and land),25.3,,,
104,1981-01-01,Calgary: Alberta,House only,27.8,,,
105,1981-01-01,Calgary: Alberta,Land only,19.4,,,
106,1981-01-01,Edmonton: Alberta,Total (house and land),35.8,,,
107,1981-01-01,Edmonton: Alberta,House only,36.5,,,
108,1981-01-01,Edmonton: Alberta,Land only,32.7,,,
109,1981-01-01,British Columbia,Total (house and land),0,,,
110,1981-01-01,British Columbia,House only,0,,,
111,1981-01-01,British Columbia,Land only,0,,,
112,1981-01-01,Kelowna: British Columbia,Total (house and land),0,,,
113,1981-01-01,Kelowna: British Columbia,House only,0,,,
114,1981-01-01,Kelowna: British Columbia,Land only,0,,,
115,1981-01-01,Vancouver: British Columbia,Total (house and land),90.5,,,
116,1981-01-01,Vancouver: British Columbia,House only,96.1,,,
117,1981-01-01,Vancouver: British Columbia,Land only,83.5,,,
118,1981-01-01,Victoria: British Columbia,Total (house and land),128.7,,,
119,1981-01-01,Victoria: British Columbia,House only,206.8,,,
120,1981-01-01,Victoria: British Columbia,Land only,50.5,,,
121,1981-02-01,Canada,Total (house and land),38.7,,,
122,1981-02-01,Canada,House only,36.5,,,
123,1981-02-01,Canada,Land only,41,,,
124,1981-02-01,Atlantic Region,Total (house and land),0,,,
125,1981-02-01,Atlantic Region,House only,0,,,
126,1981-02-01,Atlantic Region,Land only,0,,,
127,1981-02-01,Newfoundland and Labrador,Total (house and land),0,,,
128,1981-02-01,Newfoundland and Labrador,House only,0,,,
129,1981-02-01,Newfoundland and Labrador,Land only,0,,,
130,1981-02-01,St. John's: Newfoundland and Labrador,Total (house and land),36.2,,,
131,1981-02-01,St. John's: Newfoundland and Labrador,House only,37.5,,,
132,1981-02-01,St. John's: Newfoundland and Labrador,Land only,31.8,,,
133,1981-02-01,Prince Edward Island,Total (house and land),0,,,
134,1981-02-01,Prince Edward Island,House only,0,,,
135,1981-02-01,Prince Edward Island,Land only,0,,,
136,1981-02-01,Charlottetown: Prince Edward Island,Total (house and land),0,,,
137,1981-02-01,Charlottetown: Prince Edward Island,House only,0,,,
138,1981-02-01,Charlottetown: Prince Edward Island,Land only,0,,,
139,1981-02-01,Nova Scotia,Total (house and land),0,,,
140,1981-02-01,Nova Scotia,House only,0,,,
141,1981-02-01,Nova Scotia,Land only,0,,,
142,1981-02-01,Halifax: Nova Scotia,Total (house and land),0,,,
143,1981-02-01,Halifax: Nova Scotia,House only,0,,,
144,1981-02-01,Halifax: Nova Scotia,Land only,32.5,,,
145,1981-02-01,New Brunswick,Total (house and land),0,,,
146,1981-02-01,New Brunswick,House only,0,,,
147,1981-02-01,New Brunswick,Land only,0,,,
148,1981-02-01,Saint John: Fredericton: and Moncton: New Brunswick,Total (house and land),56.2,,,
149,1981-02-01,Saint John: Fredericton: and Moncton: New Brunswick,House only,62.1,,,
150,1981-02-01,Saint John: Fredericton: and Moncton: New Brunswick,Land only,38,,,
151,1981-02-01,Quebec,Total (house and land),0,,,
152,1981-02-01,Quebec,House only,0,,,
153,1981-02-01,Quebec,Land only,0,,,
154,1981-02-01,Quebec: Quebec,Total (house and land),30.6,,,
155,1981-02-01,Quebec: Quebec,House only,35.4,,,
156,1981-02-01,Quebec: Quebec,Land only,20.3,,,
157,1981-02-01,Sherbrooke: Quebec,Total (house and land),0,,,
158,1981-02-01,Sherbrooke: Quebec,House only,0,,,
159,1981-02-01,Sherbrooke: Quebec,Land only,0,,,
160,1981-02-01,Trois-Rivieres: Quebec,Total (house and land),0,,,
161,1981-02-01,Trois-Rivieres: Quebec,House only,0,,,
162,1981-02-01,Trois-Rivieres: Quebec,Land only,0,,,
163,1981-02-01,Montreal: Quebec,Total (house and land),28.8,,,
164,1981-02-01,Montreal: Quebec,House only,30.2,,,
165,1981-02-01,Montreal: Quebec,Land only,20.7,,,
166,1981-02-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Total (house and land),0,,,
167,1981-02-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,House only,0,,,
168,1981-02-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Land only,0,,,
169,1981-02-01,Ontario,Total (house and land),0,,,
170,1981-02-01,Ontario,House only,0,,,
171,1981-02-01,Ontario,Land only,0,,,
172,1981-02-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Total (house and land),32.6,,,
173,1981-02-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,House only,30.8,,,
174,1981-02-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Land only,39.9,,,
175,1981-02-01,Oshawa: Ontario,Total (house and land),0,,,
176,1981-02-01,Oshawa: Ontario,House only,0,,,
177,1981-02-01,Oshawa: Ontario,Land only,0,,,
178,1981-02-01,Toronto: Ontario,Total (house and land),28.5,,,
179,1981-02-01,Toronto: Ontario,House only,23.2,,,
180,1981-02-01,Toronto: Ontario,Land only,39.3,,,
181,1981-02-01,Hamilton: Ontario,Total (house and land),30.4,,,
182,1981-02-01,Hamilton: Ontario,House only,24.9,,,
183,1981-02-01,Hamilton: Ontario,Land only,46,,,
184,1981-02-01,St. Catharines-Niagara: Ontario,Total (house and land),30.8,,,
185,1981-02-01,St. Catharines-Niagara: Ontario,House only,28.6,,,
186,1981-02-01,St. Catharines-Niagara: Ontario,Land only,35.6,,,
187,1981-02-01,Kitchener-Cambridge-Waterloo: Ontario,Total (house and land),34.1,,,
188,1981-02-01,Kitchener-Cambridge-Waterloo: Ontario,House only,30.5,,,
189,1981-02-01,Kitchener-Cambridge-Waterloo: Ontario,Land only,43.5,,,
190,1981-02-01,Guelph: Ontario,Total (house and land),0,,,
191,1981-02-01,Guelph: Ontario,House only,0,,,
192,1981-02-01,Guelph: Ontario,Land only,0,,,
193,1981-02-01,London: Ontario,Total (house and land),32.3,,,
194,1981-02-01,London: Ontario,House only,27.5,,,
195,1981-02-01,London: Ontario,Land only,51.4,,,
196,1981-02-01,Windsor: Ontario,Total (house and land),61.2,,,
197,1981-02-01,Windsor: Ontario,House only,64.9,,,
198,1981-02-01,Windsor: Ontario,Land only,47.5,,,
199,1981-02-01,Greater Sudbury: Ontario,Total (house and land),55.4,,,
200,1981-02-01,Greater Sudbury: Ontario,House only,55.6,,,
201,1981-02-01,Greater Sudbury: Ontario,Land only,52.1,,,
202,1981-02-01,Prairie Region,Total (house and land),0,,,
203,1981-02-01,Prairie Region,House only,0,,,
204,1981-02-01,Prairie Region,Land only,0,,,
205,1981-02-01,Manitoba,Total (house and land),0,,,
206,1981-02-01,Manitoba,House only,0,,,
207,1981-02-01,Manitoba,Land only,0,,,
208,1981-02-01,Winnipeg: Manitoba,Total (house and land),26.9,,,
209,1981-02-01,Winnipeg: Manitoba,House only,29.7,,,
210,1981-02-01,Winnipeg: Manitoba,Land only,18.7,,,
211,1981-02-01,Saskatchewan,Total (house and land),0,,,
212,1981-02-01,Saskatchewan,House only,0,,,
213,1981-02-01,Saskatchewan,Land only,0,,,
214,1981-02-01,Regina: Saskatchewan,Total (house and land),20.2,,,
215,1981-02-01,Regina: Saskatchewan,House only,21.2,,,
216,1981-02-01,Regina: Saskatchewan,Land only,17.1,,,
217,1981-02-01,Saskatoon: Saskatchewan,Total (house and land),33,,,
218,1981-02-01,Saskatoon: Saskatchewan,House only,35.8,,,
219,1981-02-01,Saskatoon: Saskatchewan,Land only,26,,,
220,1981-02-01,Alberta,Total (house and land),0,,,
221,1981-02-01,Alberta,House only,0,,,
222,1981-02-01,Alberta,Land only,0,,,
223,1981-02-01,Calgary: Alberta,Total (house and land),25.5,,,
224,1981-02-01,Calgary: Alberta,House only,28.1,,,
225,1981-02-01,Calgary: Alberta,Land only,19.6,,,
226,1981-02-01,Edmonton: Alberta,Total (house and land),36.1,,,
227,1981-02-01,Edmonton: Alberta,House only,36.8,,,
228,1981-02-01,Edmonton: Alberta,Land only,32.9,,,
229,1981-02-01,British Columbia,Total (house and land),0,,,
230,1981-02-01,British Columbia,House only,0,,,
231,1981-02-01,British Columbia,Land only,0,,,
232,1981-02-01,Kelowna: British Columbia,Total (house and land),0,,,
233,1981-02-01,Kelowna: British Columbia,House only,0,,,
234,1981-02-01,Kelowna: British Columbia,Land only,0,,,
235,1981-02-01,Vancouver: British Columbia,Total (house and land),92.2,,,
236,1981-02-01,Vancouver: British Columbia,House only,97.5,,,
237,1981-02-01,Vancouver: British Columbia,Land only,85.3,,,
238,1981-02-01,Victoria: British Columbia,Total (house and land),130.1,,,
239,1981-02-01,Victoria: British Columbia,House only,209.1,,,
240,1981-02-01,Victoria: British Columbia,Land only,50.9,,,
241,1981-03-01,Canada,Total (house and land),39.3,,,
242,1981-03-01,Canada,House only,37.3,,,
243,1981-03-01,Canada,Land only,41.1,,,
244,1981-03-01,Atlantic Region,Total (house and land),0,,,
245,1981-03-01,Atlantic Region,House only,0,,,
246,1981-03-01,Atlantic Region,Land only,0,,,
247,1981-03-01,Newfoundland and Labrador,Total (house and land),0,,,
248,1981-03-01,Newfoundland and Labrador,House only,0,,,
249,1981-03-01,Newfoundland and Labrador,Land only,0,,,
250,1981-03-01,St. John's: Newfoundland and Labrador,Total (house and land),36.2,,,
251,1981-03-01,St. John's: Newfoundland and Labrador,House only,37.5,,,
252,1981-03-01,St. John's: Newfoundland and Labrador,Land only,31.8,,,
253,1981-03-01,Prince Edward Island,Total (house and land),0,,,
254,1981-03-01,Prince Edward Island,House only,0,,,
255,1981-03-01,Prince Edward Island,Land only,0,,,
256,1981-03-01,Charlottetown: Prince Edward Island,Total (house and land),0,,,
257,1981-03-01,Charlottetown: Prince Edward Island,House only,0,,,
258,1981-03-01,Charlottetown: Prince Edward Island,Land only,0,,,
259,1981-03-01,Nova Scotia,Total (house and land),0,,,
260,1981-03-01,Nova Scotia,House only,0,,,
261,1981-03-01,Nova Scotia,Land only,0,,,
262,1981-03-01,Halifax: Nova Scotia,Total (house and land),0,,,
263,1981-03-01,Halifax: Nova Scotia,House only,0,,,
264,1981-03-01,Halifax: Nova Scotia,Land only,32.5,,,
265,1981-03-01,New Brunswick,Total (house and land),0,,,
266,1981-03-01,New Brunswick,House only,0,,,
267,1981-03-01,New Brunswick,Land only,0,,,
268,1981-03-01,Saint John: Fredericton: and Moncton: New Brunswick,Total (house and land),56.2,,,
269,1981-03-01,Saint John: Fredericton: and Moncton: New Brunswick,House only,62.1,,,
270,1981-03-01,Saint John: Fredericton: and Moncton: New Brunswick,Land only,38,,,
271,1981-03-01,Quebec,Total (house and land),0,,,
272,1981-03-01,Quebec,House only,0,,,
273,1981-03-01,Quebec,Land only,0,,,
274,1981-03-01,Quebec: Quebec,Total (house and land),30.6,,,
275,1981-03-01,Quebec: Quebec,House only,35.4,,,
276,1981-03-01,Quebec: Quebec,Land only,20.6,,,
277,1981-03-01,Sherbrooke: Quebec,Total (house and land),0,,,
278,1981-03-01,Sherbrooke: Quebec,House only,0,,,
279,1981-03-01,Sherbrooke: Quebec,Land only,0,,,
280,1981-03-01,Trois-Rivieres: Quebec,Total (house and land),0,,,
281,1981-03-01,Trois-Rivieres: Quebec,House only,0,,,
282,1981-03-01,Trois-Rivieres: Quebec,Land only,0,,,
283,1981-03-01,Montreal: Quebec,Total (house and land),29,,,
284,1981-03-01,Montreal: Quebec,House only,30.5,,,
285,1981-03-01,Montreal: Quebec,Land only,21,,,
286,1981-03-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Total (house and land),0,,,
287,1981-03-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,House only,0,,,
288,1981-03-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Land only,0,,,
289,1981-03-01,Ontario,Total (house and land),0,,,
290,1981-03-01,Ontario,House only,0,,,
291,1981-03-01,Ontario,Land only,0,,,
292,1981-03-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Total (house and land),33.6,,,
293,1981-03-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,House only,31.9,,,
294,1981-03-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Land only,40.6,,,
295,1981-03-01,Oshawa: Ontario,Total (house and land),0,,,
296,1981-03-01,Oshawa: Ontario,House only,0,,,
297,1981-03-01,Oshawa: Ontario,Land only,0,,,
298,1981-03-01,Toronto: Ontario,Total (house and land),29.8,,,
299,1981-03-01,Toronto: Ontario,House only,24.8,,,
300,1981-03-01,Toronto: Ontario,Land only,39.5,,,
301,1981-03-01,Hamilton: Ontario,Total (house and land),30.7,,,
302,1981-03-01,Hamilton: Ontario,House only,25.3,,,
303,1981-03-01,Hamilton: Ontario,Land only,46,,,
304,1981-03-01,St. Catharines-Niagara: Ontario,Total (house and land),30.8,,,
305,1981-03-01,St. Catharines-Niagara: Ontario,House only,28.6,,,
306,1981-03-01,St. Catharines-Niagara: Ontario,Land only,35.6,,,
307,1981-03-01,Kitchener-Cambridge-Waterloo: Ontario,Total (house and land),34.2,,,
308,1981-03-01,Kitchener-Cambridge-Waterloo: Ontario,House only,30.7,,,
309,1981-03-01,Kitchener-Cambridge-Waterloo: Ontario,Land only,43.5,,,
310,1981-03-01,Guelph: Ontario,Total (house and land),0,,,
311,1981-03-01,Guelph: Ontario,House only,0,,,
312,1981-03-01,Guelph: Ontario,Land only,0,,,
313,1981-03-01,London: Ontario,Total (house and land),32.8,,,
314,1981-03-01,London: Ontario,House only,28.2,,,
315,1981-03-01,London: Ontario,Land only,51.4,,,
316,1981-03-01,Windsor: Ontario,Total (house and land),60.7,,,
317,1981-03-01,Windsor: Ontario,House only,64.1,,,
318,1981-03-01,Windsor: Ontario,Land only,47.5,,,
319,1981-03-01,Greater Sudbury: Ontario,Total (house and land),55.4,,,
320,1981-03-01,Greater Sudbury: Ontario,House only,55.6,,,
321,1981-03-01,Greater Sudbury: Ontario,Land only,52.1,,,
322,1981-03-01,Prairie Region,Total (house and land),0,,,
323,1981-03-01,Prairie Region,House only,0,,,
324,1981-03-01,Prairie Region,Land only,0,,,
325,1981-03-01,Manitoba,Total (house and land),0,,,
326,1981-03-01,Manitoba,House only,0,,,
327,1981-03-01,Manitoba,Land only,0,,,
328,1981-03-01,Winnipeg: Manitoba,Total (house and land),27.3,,,
329,1981-03-01,Winnipeg: Manitoba,House only,30.3,,,
330,1981-03-01,Winnipeg: Manitoba,Land only,18.7,,,
331,1981-03-01,Saskatchewan,Total (house and land),0,,,
332,1981-03-01,Saskatchewan,House only,0,,,
333,1981-03-01,Saskatchewan,Land only,0,,,
334,1981-03-01,Regina: Saskatchewan,Total (house and land),20.6,,,
335,1981-03-01,Regina: Saskatchewan,House only,21.5,,,
336,1981-03-01,Regina: Saskatchewan,Land only,17.5,,,
337,1981-03-01,Saskatoon: Saskatchewan,Total (house and land),33.4,,,
338,1981-03-01,Saskatoon: Saskatchewan,House only,36.4,,,
339,1981-03-01,Saskatoon: Saskatchewan,Land only,26,,,
340,1981-03-01,Alberta,Total (house and land),0,,,
341,1981-03-01,Alberta,House only,0,,,
342,1981-03-01,Alberta,Land only,0,,,
343,1981-03-01,Calgary: Alberta,Total (house and land),25.8,,,
344,1981-03-01,Calgary: Alberta,House only,28.6,,,
345,1981-03-01,Calgary: Alberta,Land only,19.6,,,
346,1981-03-01,Edmonton: Alberta,Total (house and land),36.1,,,
347,1981-03-01,Edmonton: Alberta,House only,36.8,,,
348,1981-03-01,Edmonton: Alberta,Land only,32.9,,,
349,1981-03-01,British Columbia,Total (house and land),0,,,
350,1981-03-01,British Columbia,House only,0,,,
351,1981-03-01,British Columbia,Land only,0,,,
352,1981-03-01,Kelowna: British Columbia,Total (house and land),0,,,
353,1981-03-01,Kelowna: British Columbia,House only,0,,,
354,1981-03-01,Kelowna: British Columbia,Land only,0,,,
355,1981-03-01,Vancouver: British Columbia,Total (house and land),92.2,,,
356,1981-03-01,Vancouver: British Columbia,House only,97.5,,,
357,1981-03-01,Vancouver: British Columbia,Land only,85.3,,,
358,1981-03-01,Victoria: British Columbia,Total (house and land),130.8,,,
359,1981-03-01,Victoria: British Columbia,House only,210.6,,,
360,1981-03-01,Victoria: British Columbia,Land only,50.9,,,
361,1981-04-01,Canada,Total (house and land),39.9,,,
362,1981-04-01,Canada,House only,38.1,,,
363,1981-04-01,Canada,Land only,41.2,,,
364,1981-04-01,Atlantic Region,Total (house and land),0,,,
365,1981-04-01,Atlantic Region,House only,0,,,
366,1981-04-01,Atlantic Region,Land only,0,,,
367,1981-04-01,Newfoundland and Labrador,Total (house and land),0,,,
368,1981-04-01,Newfoundland and Labrador,House only,0,,,
369,1981-04-01,Newfoundland and Labrador,Land only,0,,,
370,1981-04-01,St. John's: Newfoundland and Labrador,Total (house and land),36.2,,,
371,1981-04-01,St. John's: Newfoundland and Labrador,House only,37.5,,,
372,1981-04-01,St. John's: Newfoundland and Labrador,Land only,31.8,,,
373,1981-04-01,Prince Edward Island,Total (house and land),0,,,
374,1981-04-01,Prince Edward Island,House only,0,,,
375,1981-04-01,Prince Edward Island,Land only,0,,,
376,1981-04-01,Charlottetown: Prince Edward Island,Total (house and land),0,,,
377,1981-04-01,Charlottetown: Prince Edward Island,House only,0,,,
378,1981-04-01,Charlottetown: Prince Edward Island,Land only,0,,,
379,1981-04-01,Nova Scotia,Total (house and land),0,,,
380,1981-04-01,Nova Scotia,House only,0,,,
381,1981-04-01,Nova Scotia,Land only,0,,,
382,1981-04-01,Halifax: Nova Scotia,Total (house and land),0,,,
383,1981-04-01,Halifax: Nova Scotia,House only,0,,,
384,1981-04-01,Halifax: Nova Scotia,Land only,32.5,,,
385,1981-04-01,New Brunswick,Total (house and land),0,,,
386,1981-04-01,New Brunswick,House only,0,,,
387,1981-04-01,New Brunswick,Land only,0,,,
388,1981-04-01,Saint John: Fredericton: and Moncton: New Brunswick,Total (house and land),56.2,,,
389,1981-04-01,Saint John: Fredericton: and Moncton: New Brunswick,House only,62.1,,,
390,1981-04-01,Saint John: Fredericton: and Moncton: New Brunswick,Land only,38,,,
391,1981-04-01,Quebec,Total (house and land),0,,,
392,1981-04-01,Quebec,House only,0,,,
393,1981-04-01,Quebec,Land only,0,,,
394,1981-04-01,Quebec: Quebec,Total (house and land),31,,,
395,1981-04-01,Quebec: Quebec,House only,35.7,,,
396,1981-04-01,Quebec: Quebec,Land only,20.9,,,
397,1981-04-01,Sherbrooke: Quebec,Total (house and land),0,,,
398,1981-04-01,Sherbrooke: Quebec,House only,0,,,
399,1981-04-01,Sherbrooke: Quebec,Land only,0,,,
400,1981-04-01,Trois-Rivieres: Quebec,Total (house and land),0,,,
401,1981-04-01,Trois-Rivieres: Quebec,House only,0,,,
402,1981-04-01,Trois-Rivieres: Quebec,Land only,0,,,
403,1981-04-01,Montreal: Quebec,Total (house and land),29.3,,,
404,1981-04-01,Montreal: Quebec,House only,30.8,,,
405,1981-04-01,Montreal: Quebec,Land only,21,,,
406,1981-04-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Total (house and land),0,,,
407,1981-04-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,House only,0,,,
408,1981-04-01,Ottawa-Gatineau: Quebec part: Ontario/Quebec,Land only,0,,,
409,1981-04-01,Ontario,Total (house and land),0,,,
410,1981-04-01,Ontario,House only,0,,,
411,1981-04-01,Ontario,Land only,0,,,
412,1981-04-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Total (house and land),33.7,,,
413,1981-04-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,House only,32,,,
414,1981-04-01,Ottawa-Gatineau: Ontario part: Ontario/Quebec,Land only,40.6,,,
415,1981-04-01,Oshawa: Ontario,Total (house and land),0,,,
416,1981-04-01,Oshawa: Ontario,House only,0,,,
417,1981-04-01,Oshawa: Ontario,Land only,0,,,
418,1981-04-01,Toronto: Ontario,Total (house and land),31.2,,,
419,1981-04-01,Toronto: Ontario,House only,26.5,,,
420,1981-04-01,Toronto: Ontario,Land only,40,,,
421,1981-04-01,Hamilton: Ontario,Total (house and land),31,,,
422,1981-04-01,Hamilton: Ontario,House only,25.6,,,
423,1981-04-01,Hamilton: Ontario,Land only,46.3,,,
424,1981-04-01,St. Catharines-Niagara: Ontario,Total (house and land),30.8,,,
425,1981-04-01,St. Catharines-Niagara: Ontario,House only,28.6,,,
426,1981-04-01,St. Catharines-Niagara: Ontario,Land only,35.6,,,
427,1981-04-01,Kitchener-Cambridge-Waterloo: Ontario,Total (house and land),34.6,,,
428,1981-04-01,Kitchener-Cambridge-Waterloo: Ontario,House only,31.1,,,
429,1981-04-01,Kitchener-Cambridge-Waterloo: Ontario,Land only,43.5,,,
430,1981-04-01,Guelph: Ontario,Total (house and land),0,,,
431,1981-04-01,Guelph: Ontario,House only,0,,,
432,1981-04-01,Guelph: Ontario,Land only,0,,,
433,1981-04-01,London: Ontario,Total (house and land),33.3,,,
434,1981-04-01,London: Ontario,House only,28.6,,,
435,1981-04-01,London: Ontario,Land only,51.6,,,
436,1981-04-01,Windsor: Ontario,Total (house and land),60.6,,,
437,1981-04-01,Windsor: Ontario,House only,63.9,,,
438,1981-04-01,Windsor: Ontario,Land only,47.5,,,
439,1981-04-01,Greater Sudbury: Ontario,Total (house and land),56.9,,,
440,1981-04-01,Greater Sudbury: Ontario,House only,57,,,
441,1981-04-01,Greater Sudbury: Ontario,Land only,53.7,,,
442,1981-04-01,Prairie Region,Total (house and land),0,,,
443,1981-04-01,Prairie Region,House only,0,,,
